,Symbol,Security,GICS Sector,Headquarters Location
329,MSI,Motorola Solutions,Information Technology,"Chicago, Illinois"
330,MSCI,MSCI,Financials,"New York City, New York"
331,NDAQ,Nasdaq,Financials,"New York City, New York"
332,NTAP,NetApp,Information Technology,"Sunnyvale, California"
333,NFLX,Netflix,Communication Services,"Los Gatos, California"
334,NWL,Newell Brands,Consumer Discretionary,"Atlanta, Georgia"
335,NEM,Newmont,Materials,"Denver, Colorado"
336,NWSA,News Corp (Class A),Communication Services,"New York City, New York"
337,NWS,News Corp (Class B),Communication Services,"New York City, New York"
338,NEE,NextEra Energy,Utilities,"Juno Beach, Florida"
339,NLSN,Nielsen Holdings,Industrials,"New York City, New York"
340,NKE,Nike,Consumer Discretionary,"Washington County, Oregon"
341,NI,NiSource,Utilities,"Merrillville, Indiana"
342,NSC,Norfolk Southern,Industrials,"Norfolk, Virginia"
343,NTRS,Northern Trust,Financials,"Chicago, Illinois"
344,NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia"
345,NLOK,NortonLifeLock,Information Technology,"Tempe, Arizona"
346,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami, Florida"
347,NRG,NRG Energy,Utilities,"Houston, Texas"
348,NUE,Nucor,Materials,"Charlotte, North Carolina"
349,NVDA,Nvidia,Information Technology,"Santa Clara, California"
350,NVR,NVR,Consumer Discretionary,"Reston, Virginia"
351,NXPI,NXP,Information Technology,"Eindhoven, Netherlands"
352,ORLY,O'Reilly Automotive,Consumer Discretionary,"Springfield, Missouri"
353,OXY,Occidental Petroleum,Energy,"Houston, Texas"
354,ODFL,Old Dominion Freight Line,Industrials,"Thomasville, North Carolina"
355,OMC,Omnicom Group,Communication Services,"New York City, New York"
356,OKE,Oneok,Energy,"Tulsa, Oklahoma"
357,ORCL,Oracle,Information Technology,"Austin, Texas"
358,OGN,Organon & Co.,Health Care,"Jersey City, New Jersey"
359,OTIS,Otis Worldwide,Industrials,"Farmington, Connecticut"
360,PCAR,Paccar,Industrials,"Bellevue, Washington"
361,PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois"
362,PH,Parker-Hannifin,Industrials,"Cleveland, Ohio"
363,PAYX,Paychex,Information Technology,"Penfield, New York"
364,PAYC,Paycom,Information Technology,"Oklahoma City, Oklahoma"
365,PYPL,PayPal,Information Technology,"San Jose, California"
366,PENN,Penn National Gaming,Consumer Discretionary,"Wyomissing, Pennsylvania"
367,PNR,Pentair,Industrials,"Worsley, England"
368,PBCT,People's United Financial,Financials,"Bridgeport, Connecticut"
369,PEP,PepsiCo,Consumer Staples,"Purchase, New York"
370,PKI,PerkinElmer,Health Care,"Waltham, Massachusetts"
371,PFE,Pfizer,Health Care,"New York City, New York"
372,PM,Philip Morris International,Consumer Staples,"New York City, New York"
373,PSX,Phillips 66,Energy,"Houston, Texas"
374,PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona"
375,PXD,Pioneer Natural Resources,Energy,"Irving, Texas"
376,PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania"
377,POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana"
378,PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania"
379,PPL,PPL,Utilities,"Allentown, Pennsylvania"
380,PFG,Principal Financial Group,Financials,"Des Moines, Iowa"
381,PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio"
382,PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio"
383,PLD,Prologis,Real Estate,"San Francisco, California"
384,PRU,Prudential Financial,Financials,"Newark, New Jersey"
385,PTC,PTC,Information Technology,"Boston, Massachusetts"
386,PEG,Public Service Enterprise Group,Utilities,"Newark, New Jersey"
387,PSA,Public Storage,Real Estate,"Glendale, California"
388,PHM,PulteGroup,Consumer Discretionary,"Atlanta, Georgia"
389,PVH,PVH,Consumer Discretionary,"New York City, New York"
390,QRVO,Qorvo,Information Technology,"Greensboro, North Carolina"
391,PWR,Quanta Services,Industrials,"Houston, Texas"
392,QCOM,Qualcomm,Information Technology,"San Diego, California"
393,DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey"
394,RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York"
395,RJF,Raymond James Financial,Financials,"St. Petersburg, Florida"
396,RTX,Raytheon Technologies,Industrials,"Waltham, Massachusetts"
397,O,Realty Income Corporation,Real Estate,"San Diego, California"
398,REG,Regency Centers,Real Estate,"Jacksonville, Florida"
399,REGN,Regeneron Pharmaceuticals,Health Care,"Tarrytown, New York"
400,RF,Regions Financial Corporation,Financials,"Birmingham, Alabama"
401,RSG,Republic Services,Industrials,"Phoenix, Arizona"
402,RMD,ResMed,Health Care,"San Diego, California"
403,RHI,Robert Half International,Industrials,"Menlo Park, California"
404,ROK,Rockwell Automation,Industrials,"Milwaukee, Wisconsin"
405,ROL,Rollins,Industrials,"Atlanta, Georgia"
406,ROP,Roper Technologies,Industrials,"Sarasota, Florida"
407,ROST,Ross Stores,Consumer Discretionary,"Dublin, California"
408,RCL,Royal Caribbean Group,Consumer Discretionary,"Miami, Florida"
409,SPGI,S&P Global,Financials,"New York City, New York"
